S.No.,Company Name,Ticker,Sector
185,Indequity Group Limited,IDQ,Nonlife Insurance
186,Indluplace Properties Limited,ILU,Real Estate Investment Trusts
187,Ingenuity Property Investments Ltd,ING,Real Estate Investment & Services
188,Insimbi Refractory and Alloy Supplies Limited,ISB,Support Services
189,International Hotel Group Limited,IHL,Real Estate Investment & Services
190,Interwaste Holdings Limited,IWE,Support Services
191,Intu Properties Plc,ITU,Real Estate Investment Trusts
192,Investec Australia Property Fund,IAP,Real Estate Investment Trusts
193,Investec Limited,INL,Financial Services
194,Investec Plc,INP,Financial Services
195,Investec Property Fund Limited,IPF,Real Estate Investment Trusts
196,Invicta Holdings Limited,IVT,Support Services
197,IPSA Group Plc,IPS,Construction & Materials
198,ISA Holdings Limited,ISA,Software & Computer Services
199,Italtile Limited,ITE,General Retailers
200,Jasco Electronics Holdings Limited,JSC,Electronic & Electrical Equipment
201,JSE Limited,JSE,Financial Services
202,Jubilee Platinum Plc,JBL,Industrial Metals & Mining
203,Kaap Agri Limited,KAL,Food Producers
204,KAP Industrial Holdings Limited,KAP,General Industrials
205,Kaydav Group Limited,KDV,Support Services
206,Keaton Energy Holdings Limited,KEH,Oil & Gas Producers
207,Kibo Mining Plc,KBO,Mining
208,Kore Potash Plc,KP2,Mining
209,Kumba Iron Ore Limited,KIO,Industrial Metals & Mining
210,Labat Africa Limited,LAB,Technology Hardware & Equipment
211,Lewis Group Limited,LEW,General Retailers
212,Liberty Holdings Limited,LBH,Life Insurance
213,Liberty Two Degrees,L2D,Real Estate Investment Trusts
214,Libstar Holdings Limited,LBR,Personal Goods
215,Life Healthcare Group Holdings Ltd,LHC,Health Care Equipment & Services
216,Lighthouse Capital Limited,GRP,Financial Services
217,Lodestone REIT Limited,LDO,Real Estate Investment Trusts
218,London Finance & Investment Group Plc,LNF,Financial Services
219,Long4Life Limited,L4L,Financial Services
220,Lonmin Plc,LON,Industrial Metals & Mining
221,M-FiTEC International Limited,MFI,Software & Computer Services
222,Mainland Real Estate Limited,MLD,Real Estate Investment & Services
223,Marshall Monteagle Plc,MMP,Support Services
224,MAS Real Estate Inc,MSP,Real Estate Investment & Services
225,Massmart Holdings Limited,MSM,Food & Drug Retailers
226,Master Drilling Group Ltd,MDI,Industrial Metals & Mining
227,Master Plastics Limited,MAP,General Industrials
228,Mazor Group Limited,MZR,Construction & Materials
229,MCMining Limited,CZA,Oil & Gas Producers
230,Mediclinic International Limited,MEI,Health Care Equipment & Services
231,Merafe Resources Limited,MRF,Industrial Metals & Mining
232,Metair Investments Limited,MTA,Automobiles & Parts
233,Metrofile Holdings Limited,MFL,Software & Computer Services
234,Mettle Investments Limited,MLE,Financial Services
235,Middle East Diamond Resources Limited,MED,Industrial Metals & Mining
